Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | M301186.lib1_1	M301186.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9036.0	1.2 Mbp	0.0	75-150	58.0	51.75962815405046	132.88778220451528	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301186.lib1_2	M301186.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9036.0	1.2 Mbp	0.0	75-150	58.0	51.39442231075697	132.91611332447985	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301187.lib1_1	M301187.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1454803.0	210.9 Mbp	0.0	75-150	51.0	67.95147521289219	144.9128081259112	150	pass	pass	fail	pass	warn	pass	pass	warn	warn	pass	pass
fastp | M301187.lib1_2	M301187.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1454803.0	210.9 Mbp	0.0	75-150	51.0	67.26206634131822	144.91484001613964	150	pass	pass	fail	pass	warn	pass	pass	warn	warn	warn	pass
fastp | M301188.lib1_1	M301188.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4988976.0	724.8 Mbp	0.0	75-150	51.0	46.78892160630659	145.2109434882028	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301188.lib1_2	M301188.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4988976.0	724.8 Mbp	0.0	75-150	51.0	45.715699942400725	145.21043316303786	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301189.lib1_1	M301189.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	461983.0	67.1 Mbp	0.0	75-150	51.0	48.87926012448366	145.34382433985667	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301189.lib1_2	M301189.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	461983.0	67.1 Mbp	0.0	75-150	51.0	47.317098174622224	145.3451317472721	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301190.lib1_1	M301190.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68572.0	9.9 Mbp	0.0	75-150	44.0	59.00659161173657	145.4475587703436	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	pass	pass
fastp | M301190.lib1_2	M301190.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68572.0	9.9 Mbp	0.0	75-150	44.0	58.17097357522021	145.43221723152308	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301191.lib1_1	M301191.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5417779.0	792.9 Mbp	0.0	75-150	51.0	36.64219648102917	146.28136437458966	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301191.lib1_2	M301191.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5417779.0	792.9 Mbp	0.0	75-150	51.0	35.71033086672433	146.28072056833622	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301192.lib1_1	M301192.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11540928.0	1.6 Gbp	0.0	75-150	51.0	38.02434180994253	146.68001273381137	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301192.lib1_2	M301192.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11540928.0	1.6 Gbp	0.0	75-150	51.0	37.32860342343554	146.6755099763208	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301193.lib1_1	M301193.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22002631.0	3.2 Gbp	0.0	75-150	50.0	36.831231072560996	147.3411427933323	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301193.lib1_2	M301193.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22002631.0	3.2 Gbp	0.0	75-150	50.0	35.639020097346844	147.33970251103153	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301194.lib1_1	M301194.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3756787.0	552.5 Mbp	0.0	75-150	50.0	42.73591026605569	147.0118715806885	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301194.lib1_2	M301194.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3756787.0	552.5 Mbp	0.0	75-150	50.0	42.37288947134722	147.01179438706532	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301195.lib1_1	M301195.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8007887.0	1.1 Gbp	0.0	75-150	51.0	42.67212588224522	146.26724378103737	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301195.lib1_2	M301195.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8007887.0	1.1 Gbp	0.0	75-150	51.0	41.950726948586144	146.26607218608353	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301196.lib1_1	M301196.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10773.0	1.4 Mbp	0.0	75-150	55.0	53.1328320802005	134.58720876264735	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	pass	pass
fastp | M301196.lib1_2	M301196.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10773.0	1.4 Mbp	0.0	75-150	55.0	51.54553049289892	134.58219623131905	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301197.lib1_1	M301197.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4825.0	653 kbp	0.0	75-150	56.0	67.66839378238342	135.15564766839378	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301197.lib1_2	M301197.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4825.0	653.3 kbp	0.0	75-150	56.0	66.38341968911917	135.2041450777202	150	pass	pass	fail	pass	pass	fail	pass	warn	warn	warn	pass
fastp | M301198.lib1_1	M301198.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8240693.0	1.2 Gbp	0.0	75-150	50.0	41.473417841579284	146.97043925796046	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301198.lib1_2	M301198.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8240693.0	1.2 Gbp	0.0	75-150	51.0	41.01191178114787	146.9646196017738	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301199.lib1_1	M301199.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6304618.0	926.7 Mbp	0.0	75-150	50.0	55.03789249749328	146.92787604260877	150	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
fastp | M301199.lib1_2	M301199.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6304618.0	926.7 Mbp	0.0	75-150	50.0	53.932281279297946	146.92626452546372	150	pass	pass	fail	pass	pass	pass	pass	warn	warn	warn	pass
fastp | M301200.lib1_1	M301200.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6915360.0	1 Gbp	0.0	75-150	50.0	47.79191199448226	147.16418378797343	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301200.lib1_2	M301200.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6915360.0	1 Gbp	0.0	75-150	50.0	47.05210454213868	147.16189207792507	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301201.lib1_1	M301201.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4218287.0	616.3 Mbp	0.0	75-150	51.0	44.700825738115	146.04372817686422	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | M301201.lib1_2	M301201.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4218287.0	616.3 Mbp	0.0	75-150	51.0	44.00283246373394	146.04161973805955	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301202.lib1_1	M301202.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8255782.0	1.2 Gbp	0.0	75-150	51.0	36.55492233196968	146.22446038424948	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | M301202.lib1_2	M301202.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8255782.0	1.2 Gbp	0.0	75-150	51.0	35.46940291973785	146.21975774069617	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
fastp | M301203.lib1_1	M301203.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9126401.0	1.3 Gbp	0.0	75-150	50.0	39.558618337487914	147.2867825991867	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301203.lib1_2	M301203.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9126401.0	1.3 Gbp	0.0	75-150	50.0	38.544858920938566	147.285231714013	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
