Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
GRCg7b | M301186.lib1	15162	0	0	0	0	0	0	0	6	0	0.04	nan	15162	0	7581	0	7581	0	0	0	0.0	nan	6	0	0	0	0.0	nan	0	0	0	0	15162
GRCg7b | M301187.lib1	2908824	0	0	0	0	0	0	0	3790	0	0.13	nan	2908824	0	1454412	0	1454412	0	3432	0	0.12	nan	3588	0	202	0	0.01	nan	6	0	1	0	2908824
GRCg7b | M301188.lib1	9975630	0	0	0	0	0	0	0	532	0	0.01	nan	9975630	0	4987815	0	4987815	0	100	0	0.0	nan	100	0	432	0	0.0	nan	0	0	0	0	9975630
GRCg7b | M301189.lib1	921786	0	0	0	0	0	0	0	241	0	0.03	nan	921786	0	460893	0	460893	0	198	0	0.02	nan	198	0	43	0	0.0	nan	0	0	0	0	921786
GRCg7b | M301190.lib1	132804	0	0	0	0	0	0	0	117559	0	88.52	nan	132804	0	66402	0	66402	0	106026	0	79.84	nan	116324	0	1235	0	0.93	nan	170	0	56	0	132804
GRCg7b | M301191.lib1	10831314	0	0	0	0	0	0	0	555	0	0.01	nan	10831314	0	5415657	0	5415657	0	184	0	0.0	nan	192	0	363	0	0.0	nan	2	0	1	0	10831314
GRCg7b | M301192.lib1	23077922	0	0	0	0	0	0	0	3071	0	0.01	nan	23077922	0	11538961	0	11538961	0	1882	0	0.01	nan	1912	0	1159	0	0.01	nan	0	0	0	0	23077922
GRCg7b | M301193.lib1	43997430	0	0	0	0	0	0	0	1900	0	0.0	nan	43997430	0	21998715	0	21998715	0	1044	0	0.0	nan	1080	0	820	0	0.0	nan	0	0	0	0	43997430
GRCg7b | M301194.lib1	7502452	0	0	0	0	0	0	0	238	0	0.0	nan	7502452	0	3751226	0	3751226	0	66	0	0.0	nan	80	0	158	0	0.0	nan	0	0	0	0	7502452
GRCg7b | M301195.lib1	16011202	0	0	0	0	0	0	0	1811	0	0.01	nan	16011202	0	8005601	0	8005601	0	1182	0	0.01	nan	1196	0	615	0	0.0	nan	2	0	0	0	16011202
