Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301186.lib1	15150.0	0.0	15150.0	1.0	7575.0	7575.0	476.0	466.0	14674.0	432.0	15150.0	0.0	7.0	0.0	0.0	0.0	2027685.0	1013707.0	1013978.0	67322.0	67322.0	0.0	0.0	442.0	0.006565461	134.0	134.0	134.0	150.0	150.0	150.0	39.0	221.2	104.7	200.0	27.0	0.0	6.0	2.9	3.141914191419142	3.075907590759076	96.85808580858087	2.851485148514852	100.0	0.0	0.0462046204620462	0.0
REF0009-mgg-pbdrep | M301187.lib1	2904762.0	0.0	2904762.0	1.0	1452381.0	1452381.0	2491077.0	2462220.0	413685.0	2382290.0	2904762.0	0.0	56676.0	0.0	0.0	0.0	421221524.0	210608507.0	210613017.0	361313730.0	361313730.0	0.0	0.0	2616363.0	0.00724125	145.0	145.0	145.0	150.0	150.0	150.0	39.1	234.0	93.2	1108813.0	111780.0	708.0	9809.0	82.0	85.75838571283981	84.76494804049351	14.241614287160187	82.01325960612263	100.0	0.0	1.951140919634724	0.0
REF0009-mgg-pbdrep | M301188.lib1	9974490.0	0.0	9974490.0	1.0	4987245.0	4987245.0	8552118.0	8445590.0	1422372.0	8026002.0	9974490.0	0.0	193258.0	0.0	0.0	0.0	1449308347.0	724651589.0	724656758.0	1242671523.0	1242671523.0	0.0	0.0	9366218.0	0.007537163	145.0	145.0	145.0	150.0	150.0	150.0	38.9	239.9	100.4	3795720.0	373842.0	3390.0	49843.0	80.5	85.7399024912552	84.67189801182818	14.260097508744806	80.4652869470018	100.0	0.0	1.9375226202041407	0.0
REF0009-mgg-pbdrep | M301189.lib1	921466.0	0.0	921466.0	1.0	460733.0	460733.0	773417.0	757238.0	148049.0	717856.0	921466.0	0.0	20866.0	0.0	0.0	0.0	134033722.0	67016128.0	67017594.0	112691571.0	112691571.0	0.0	0.0	921433.0	0.008176592	145.0	145.0	145.0	150.0	150.0	150.0	39.0	243.8	99.9	341534.0	30805.0	1560.0	4720.0	77.9	83.93331929772775	82.17753015303875	16.066680702272247	77.90368825328335	100.0	0.0	2.2644351500760744	0.0
REF0009-mgg-pbdrep | M301190.lib1	13956.0	0.0	13956.0	1.0	6978.0	6978.0	668.0	662.0	13288.0	654.0	13956.0	0.0	25.0	0.0	0.0	0.0	1879655.0	939775.0	939880.0	90162.0	90162.0	0.0	0.0	685.0	0.007597436	135.0	135.0	135.0	150.0	150.0	150.0	38.6	178.2	74.2	263.0	65.0	0.0	3.0	4.7	4.786471768415019	4.743479507022069	95.21352823158497	4.68615649183147	100.0	0.0	0.17913442247062197	0.0
REF0009-mgg-pbdrep | M301191.lib1	10830190.0	0.0	10830190.0	1.0	5415095.0	5415095.0	9288163.0	9177924.0	1542027.0	8551106.0	10830190.0	0.0	196103.0	0.0	0.0	0.0	1585075987.0	792535756.0	792540231.0	1359440400.0	1359440400.0	0.0	0.0	10090910.0	0.007422841	146.0	146.0	146.0	150.0	150.0	150.0	38.8	253.2	106.2	4183622.0	328056.0	2488.0	74796.0	79.0	85.76177333915656	84.74388722635521	14.23822666084344	78.9561955976765	100.0	0.0	1.8107069220392256	0.0
REF0009-mgg-pbdrep | M301192.lib1	23073130.0	0.0	23073130.0	1.0	11536565.0	11536565.0	19944640.0	19696034.0	3128490.0	18414036.0	23073130.0	0.0	413981.0	0.0	0.0	0.0	3385870257.0	1692948926.0	1692921331.0	2926904081.0	2926904081.0	0.0	0.0	20985897.0	0.007169998	147.0	147.0	147.0	150.0	150.0	150.0	38.9	257.2	105.0	9056644.0	637751.0	5666.0	147956.0	79.8	86.44098134930111	85.36351158252045	13.559018650698887	79.80727365554652	100.0	0.0	1.7942125754069778	0.0
REF0009-mgg-pbdrep | M301193.lib1	43994120.0	0.0	43994120.0	1.0	21997060.0	21997060.0	37705819.0	37290112.0	6288301.0	35205320.0	43994120.0	0.0	782389.0	0.0	0.0	0.0	6484650092.0	3242332469.0	3242317623.0	5557854152.0	5557854152.0	0.0	0.0	40687419.0	0.007320707	147.0	147.0	147.0	150.0	150.0	150.0	38.9	259.1	99.9	17343155.0	1041414.0	10151.0	250336.0	80.0	85.70649668637536	84.76158177501902	14.293503313624639	80.02278486306807	100.0	0.0	1.778394476352749	0.0
REF0009-mgg-pbdrep | M301194.lib1	7501976.0	0.0	7501976.0	1.0	3750988.0	3750988.0	6413541.0	6340468.0	1088435.0	5988484.0	7501976.0	0.0	132526.0	0.0	0.0	0.0	1103497345.0	551747791.0	551749554.0	944007467.0	944007467.0	0.0	0.0	6752207.0	0.007152705	147.0	147.0	147.0	150.0	150.0	150.0	38.9	258.4	101.0	2937818.0	187556.0	2067.0	42793.0	79.8	85.49135587743815	84.5173058404879	14.508644122561842	79.82542199548493	100.0	0.0	1.76654790684481	0.0
REF0009-mgg-pbdrep | M301195.lib1	16008432.0	0.0	16008432.0	1.0	8004216.0	8004216.0	13703771.0	13530876.0	2304661.0	12797060.0	16008432.0	0.0	303972.0	0.0	0.0	0.0	2342710212.0	1171353986.0	1171356226.0	2005693238.0	2005693238.0	0.0	0.0	15251459.0	0.007604084	146.0	146.0	146.0	150.0	150.0	150.0	38.9	251.4	101.6	6189358.0	480053.0	5273.0	90754.0	79.9	85.60345572883091	84.52343115178302	14.396544271169093	79.93949688514152	100.0	0.0	1.8988243195835794	0.0
