first	second	richness	neutral	phylogenetic
M301187	M301188	0.3181818181818181	0.08300356295287303	0.017192241426964627
M301187	M301189	0.5121951219512195	0.20171644139112554	0.045680757377254966
M301187	M301191	0.2911392405063291	0.09179920068808711	0.021526126490738262
M301187	M301192	0.4150943396226414	0.09687253019305797	0.02154986963907024
M301187	M301193	0.4833333333333334	0.10531701196039811	0.02546697015893218
M301187	M301194	0.2432432432432432	0.10010788092408829	0.03300862734418042
M301187	M301195	0.40816326530612246	0.11406927307338555	0.02676478638198343
M301187	M301198	0.40816326530612246	0.1191334465478966	0.027759564649312285
M301187	M301199	0.3877551020408163	0.09432730108278287	0.020118465131284458
M301187	M301200	0.33333333333333326	0.08489136876641268	0.016313130842033674
M301187	M301201	0.29268292682926833	0.08701323445804532	0.019153718336335168
M301187	M301202	0.368421052631579	0.10160645837929405	0.023286671425380767
M301187	M301203	0.4368932038834952	0.11878875573315195	0.025879052394708668
M301187	M301204	0.24	0.08484354386768456	0.020354009156362318
M301187	M301205	0.9375	0.639556577295346	0.40656078710181354
M301187	M301206	0.21568627450980382	0.07494719186874688	0.017848315120581826
M301187	M301208	0.06666666666666665	0.05224374343839577	0.01912834432413535
M301187	M301210	0.4339622641509433	0.11507359979078502	0.02661039889685357
M301187	M301211	0.4444444444444444	0.10720236683316908	0.02344959315610151
M301187	M301212	0.47457627118644075	0.10634978541563489	0.02500613979722921
M301187	M301214	0.2432432432432432	0.0846694514722739	0.02084455160893317
M301187	M301215	0.7222222222222225	0.33632805908626906	0.09079013514350287
M301187	M301216	0.5	0.13291484078707028	0.034134005100351694
M301187	M301219	0.3999999999999999	0.12266740329561732	0.030907372491529972
M301187	M301222	0.12903225806451624	0.0681381856204637	0.019274992653856793
M301187	M301223	0.39583333333333326	0.11240389582067756	0.029978988098565473
M301187	M301224	0.2564102564102564	0.08181668423428357	0.01584947666084624
M301187	M301225	0.13793103448275867	0.13112068935730903	0.05708967907317508
M301187	M301226	0.5897435897435896	0.30216128806962195	0.07825051736457322
M301187	M301227	0.9375	0.639556577295346	0.40656078710181354
M301187	M301229	0.24390243902439024	0.0759386904691578	0.019038696144153988
M301187	M301233	0.4814814814814814	0.17162055549481114	0.052991996658740215
M301187	M301282	0.2727272727272727	0.08944375082703238	0.017612207612977215
M301187	M301285	0.13793103448275867	0.0558630525726449	0.013091482763124329
M301187	M301287	0.19999999999999996	0.0747701036299081	0.021786712332802605
M301187	M301289	0.25	0.07216744414986231	0.01664563262315577
M301187	M301292	0.3258426966292134	0.09022461716028096	0.02175817846179462
M301187	M301296	0.4774774774774775	0.13721467311856783	0.03607528184987552
M301187	M301297	0.13432835820895517	0.07285473394256958	0.022538683769001366
M301187	M301298	0.25	0.1518943171280288	0.07009293982130327
M301187	M301301	0.21568627450980382	0.08522530215834312	0.017514005005825006
M301187	M301303	0.26190476190476186	0.07559436420422294	0.014778678225845332
M301187	M301304	0.7222222222222225	0.4175805432265376	0.11766905316540799
M301187	M301305	0.37777777777777777	0.11249985250628636	0.030672403481310284
M301187	M301306	0.1785714285714286	0.08037913651762052	0.0195382245252963
M301187	M301310	0.2592592592592593	0.08256053082265657	0.020277898331751754
M301187	M301311	0.33333333333333326	0.09407125257244586	0.026226648395942798
M301187	M301312	0.41414141414141414	0.11938317341856197	0.033729615890657816
M301187	M301313	0.4782608695652173	0.12646534311803215	0.029291943367900752
M301187	M301314	0.5	0.1326600614738742	0.034856663592486625
M301187	M301315	0.5166666666666666	0.14117890051076454	0.040124338829576445
M301187	M301316	0.48275862068965525	0.14197147087903117	0.04189541406417263
M301187	M301317	0.4476190476190476	0.12695710671636296	0.03219676114305581
M301187	M301318	0.3555555555555556	0.11457547931510326	0.034356906486771366
M301187	M301322	0.2533333333333334	0.10537488280116036	0.03563340359348588
M301187	M301323	0.36363636363636354	0.10559234733400202	0.02386389376396314
M301187	M301324	0.4528301886792452	0.1200162067953785	0.02737590864945061
M301187	M301325	0.13793103448275867	0.07357676904812305	0.02680402866339704
M301187	M301326	0.3255813953488371	0.10114536341465352	0.021629533382784838
M301187	M301329	0.4509803921568627	0.12403741447607808	0.026331344346367747
M301188	M301189	0.7014925373134331	0.26772651207769893	0.06425244791657492
M301188	M301191	0.08571428571428563	0.03325467572146634	0.012954250582004612
M301188	M301192	0.13636363636363646	0.029323030048604926	0.00790096330800849
M301188	M301193	0.2191780821917808	0.04316689140329555	0.009710641740652282
M301188	M301194	0.15999999999999992	0.06720362438265537	0.025196446009926876
M301188	M301195	0.09677419354838701	0.03351737422257772	0.009078810929728398
M301188	M301198	0.14516129032258074	0.04852849619840505	0.011065224904075022
M301188	M301199	0.08064516129032251	0.020336472644730375	0.005394762810673193
M301188	M301200	0.07563025210084029	0.02154198248540873	0.003818437580480616
M301188	M301201	0.07407407407407418	0.024007677911040304	0.003810199331396036
M301188	M301202	0.09090909090909083	0.028085163048711337	0.006858971996201668
M301188	M301203	0.13178294573643412	0.0335305447857408	0.00851708964628295
M301188	M301204	0.5	0.14573790917715335	0.035689055101135514
M301188	M301205	0.9655172413793103	0.6870810091368913	0.4477417280664169
M301188	M301206	0.48051948051948057	0.13646270136202654	0.0334806652099654
M301188	M301208	0.3255813953488371	0.10871516012924398	0.03337966024627881
